"","time","val"
"1",1845,19.58
"2",1846,19.6
"3",1847,19.61
"4",1848,11.99
"5",1849,28.04
"6",1850,58
"7",1851,74.6
"8",1852,75.09
"9",1853,88.48
"10",1854,61.28
"11",1855,74.67
"12",1856,88.06
"13",1857,68.51
"14",1858,32.19
"15",1859,12.64
"16",1860,21.49
"17",1861,30.35
"18",1862,2.18
"19",1863,152.65
"20",1864,148.36
"21",1865,85.81
"22",1866,41.41
"23",1867,14.75
"24",1868,2.28
"25",1869,5.91
"26",1870,9.95
"27",1871,10.44
"28",1872,70.64
"29",1873,50.12
"30",1874,50.13
"31",1875,101.25
"32",1876,97.12
"33",1877,86.51
"34",1878,72.17
"35",1879,38.32
"36",1880,10.11
"37",1881,7.74
"38",1882,9.67
"39",1883,43.12
"40",1884,52.21
"41",1885,134.85
"42",1886,134.86
"43",1887,103.79
"44",1888,46.1
"45",1889,15.03
"46",1890,24.2
"47",1891,41.65
"48",1892,52.34
"49",1893,53.78
"50",1894,70.4
"51",1895,85.81
"52",1896,56.69
"53",1897,16.59
"54",1898,6.16
"55",1899,2.3
"56",1900,12.82
"57",1901,4.72
"58",1902,4.73
"59",1903,37.22
"60",1904,69.72
"61",1905,57.78
"62",1906,28.68
"63",1907,23.37
"64",1908,21.54
"65",1909,26.34
"66",1910,53.1
"67",1911,68.48
"68",1912,75.58
"69",1913,57.92
"70",1914,40.97
"71",1915,24.95
"72",1916,12.59
"73",1917,4.97
"74",1918,4.5
"75",1919,11.21
"76",1920,56.6
"77",1921,69.63
"78",1922,77.74
"79",1923,80.53
"80",1924,73.38
"81",1925,36.93
"82",1926,4.64
"83",1927,2.54
"84",1928,1.8
"85",1929,2.39
"86",1930,4.23
"87",1931,19.52
"88",1932,82.11
"89",1933,89.76
"90",1934,81.66
"91",1935,15.76
