"","time","val"
"1",1845,30.09
"2",1846,45.15
"3",1847,49.15
"4",1848,39.52
"5",1849,21.23
"6",1850,8.42
"7",1851,5.56
"8",1852,5.08
"9",1853,10.17
"10",1854,19.6
"11",1855,32.91
"12",1856,34.38
"13",1857,29.59
"14",1858,21.3
"15",1859,13.69
"16",1860,7.65
"17",1861,4.08
"18",1862,4.09
"19",1863,14.33
"20",1864,38.22
"21",1865,60.78
"22",1866,70.77
"23",1867,72.77
"24",1868,42.68
"25",1869,16.39
"26",1870,9.83
"27",1871,5.8
"28",1872,5.26
"29",1873,18.91
"30",1874,30.95
"31",1875,31.18
"32",1876,46.34
"33",1877,45.77
"34",1878,44.15
"35",1879,36.33
"36",1880,12.03
"37",1881,12.6
"38",1882,18.34
"39",1883,35.14
"40",1884,43.77
"41",1885,65.69
"42",1886,79.35
"43",1887,51.65
"44",1888,32.59
"45",1889,22.45
"46",1890,16.16
"47",1891,14.12
"48",1892,20.38
"49",1893,33.33
"50",1894,46
"51",1895,51.41
"52",1896,46.43
"53",1897,33.68
"54",1898,18.01
"55",1899,8.86
"56",1900,7.13
"57",1901,9.47
"58",1902,14.86
"59",1903,31.47
"60",1904,60.57
"61",1905,63.51
"62",1906,54.7
"63",1907,6.3
"64",1908,3.41
"65",1909,5.44
"66",1910,11.65
"67",1911,20.35
"68",1912,32.88
"69",1913,39.55
"70",1914,43.36
"71",1915,40.83
"72",1916,30.36
"73",1917,17.18
"74",1918,6.82
"75",1919,3.19
"76",1920,3.52
"77",1921,9.94
"78",1922,20.3
"79",1923,31.99
"80",1924,42.36
"81",1925,49.08
"82",1926,53.99
"83",1927,52.25
"84",1928,37.7
"85",1929,19.14
"86",1930,6.98
"87",1931,8.31
"88",1932,16.01
"89",1933,24.82
"90",1934,29.7
"91",1935,35.4
