"","time","val"
"1",1947,2033.061
"2",1947.25,2027.639
"3",1947.5,2023.452
"4",1947.75,2055.103
"5",1948,2086.017
"6",1948.25,2120.45
"7",1948.5,2132.598
"8",1948.75,2134.981
"9",1949,2105.562
"10",1949.25,2098.38
"11",1949.5,2120.044
"12",1949.75,2102.251
"13",1950,2184.872
"14",1950.25,2251.507
"15",1950.5,2338.514
"16",1950.75,2383.291
"17",1951,2415.66
"18",1951.25,2457.517
"19",1951.5,2508.166
"20",1951.75,2513.69
"21",1952,2540.55
"22",1952.25,2546.022
"23",1952.5,2564.401
"24",1952.75,2648.621
"25",1953,2697.855
"26",1953.25,2718.709
"27",1953.5,2703.411
"28",1953.75,2662.482
"29",1954,2649.755
"30",1954.25,2652.643
"31",1954.5,2682.601
"32",1954.75,2735.091
"33",1955,2813.212
"34",1955.25,2858.988
"35",1955.5,2897.598
"36",1955.75,2914.993
"37",1956,2903.671
"38",1956.25,2927.665
"39",1956.5,2925.035
"40",1956.75,2973.179
"41",1957,2992.219
"42",1957.25,2985.663
"43",1957.5,3014.919
"44",1957.75,2983.727
"45",1958,2906.274
"46",1958.25,2925.379
"47",1958.5,2993.068
"48",1958.75,3063.085
"49",1959,3121.936
"50",1959.25,3192.38
"51",1959.5,3194.653
"52",1959.75,3203.759
"53",1960,3275.757
"54",1960.25,3258.088
"55",1960.5,3274.029
"56",1960.75,3232.009
"57",1961,3253.826
"58",1961.25,3309.059
"59",1961.5,3372.581
"60",1961.75,3438.721
"61",1962,3500.054
"62",1962.25,3531.683
"63",1962.5,3575.07
"64",1962.75,3586.827
"65",1963,3625.981
"66",1963.25,3666.669
"67",1963.5,3747.278
"68",1963.75,3771.845
"69",1964,3851.366
"70",1964.25,3893.296
"71",1964.5,3954.121
"72",1964.75,3966.335
"73",1965,4062.311
"74",1965.25,4113.629
"75",1965.5,4205.086
"76",1965.75,4301.973
"77",1966,4406.693
"78",1966.25,4421.747
"79",1966.5,4459.195
"80",1966.75,4495.777
"81",1967,4535.591
"82",1967.25,4538.37
"83",1967.5,4581.309
"84",1967.75,4615.853
"85",1968,4709.993
"86",1968.25,4788.688
"87",1968.5,4825.799
"88",1968.75,4844.779
"89",1969,4920.605
"90",1969.25,4935.564
"91",1969.5,4968.164
"92",1969.75,4943.935
"93",1970,4936.594
"94",1970.25,4943.6
"95",1970.5,4989.159
"96",1970.75,4935.693
"97",1971,5069.746
"98",1971.25,5097.179
"99",1971.5,5139.128
"100",1971.75,5151.245
"101",1972,5245.974
"102",1972.25,5365.045
"103",1972.5,5415.712
"104",1972.75,5506.396
"105",1973,5642.669
"106",1973.25,5704.098
"107",1973.5,5674.1
"108",1973.75,5727.96
"109",1974,5678.713
"110",1974.25,5692.21
"111",1974.5,5638.411
"112",1974.75,5616.526
"113",1975,5548.156
"114",1975.25,5587.8
"115",1975.5,5683.444
"116",1975.75,5759.972
"117",1976,5889.5
"118",1976.25,5932.711
"119",1976.5,5965.265
"120",1976.75,6008.504
"121",1977,6079.494
"122",1977.25,6197.686
"123",1977.5,6309.514
"124",1977.75,6309.652
"125",1978,6329.791
"126",1978.25,6574.39
"127",1978.5,6640.497
"128",1978.75,6729.755
"129",1979,6741.854
"130",1979.25,6749.063
"131",1979.5,6799.2
"132",1979.75,6816.203
"133",1980,6837.641
"134",1980.25,6696.753
"135",1980.5,6688.794
"136",1980.75,6813.535
"137",1981,6947.042
"138",1981.25,6895.559
"139",1981.5,6978.135
"140",1981.75,6902.105
"141",1982,6794.878
"142",1982.25,6825.876
"143",1982.5,6799.781
"144",1982.75,6802.497
"145",1983,6892.144
"146",1983.25,7048.982
"147",1983.5,7189.896
"148",1983.75,7339.893
"149",1984,7483.371
"150",1984.25,7612.668
"151",1984.5,7686.059
"152",1984.75,7749.151
"153",1985,7824.247
"154",1985.25,7893.136
"155",1985.5,8013.674
"156",1985.75,8073.239
"157",1986,8148.603
"158",1986.25,8185.303
"159",1986.5,8263.639
"160",1986.75,8308.021
"161",1987,8369.93
"162",1987.25,8460.233
"163",1987.5,8533.635
"164",1987.75,8680.162
"165",1988,8725.006
"166",1988.25,8839.641
"167",1988.5,8891.435
"168",1988.75,9009.913
"169",1989,9101.508
"170",1989.25,9170.977
"171",1989.5,9238.923
"172",1989.75,9257.128
"173",1990,9358.289
"174",1990.25,9392.251
"175",1990.5,9398.499
"176",1990.75,9312.937
"177",1991,9269.367
"178",1991.25,9341.642
"179",1991.5,9388.845
"180",1991.75,9421.565
"181",1992,9534.346
"182",1992.25,9637.732
"183",1992.5,9732.979
"184",1992.75,9834.51
"185",1993,9850.973
"186",1993.25,9908.347
"187",1993.5,9955.641
"188",1993.75,10091.049
"189",1994,10188.954
"190",1994.25,10327.019
"191",1994.5,10387.382
"192",1994.75,10506.372
"193",1995,10543.644
"194",1995.25,10575.1
"195",1995.5,10665.06
"196",1995.75,10737.478
"197",1996,10817.896
"198",1996.25,10998.322
"199",1996.5,11096.976
"200",1996.75,11212.205
"201",1997,11284.587
"202",1997.25,11472.137
"203",1997.5,11615.636
"204",1997.75,11715.393
"205",1998,11832.486
"206",1998.25,11942.032
"207",1998.5,12091.614
"208",1998.75,12287
"209",1999,12403.293
"210",1999.25,12498.694
"211",1999.5,12662.385
"212",1999.75,12877.593
"213",2000,12924.179
"214",2000.25,13160.842
"215",2000.5,13178.419
