"","time","val"
"1",1880,-0.62
"2",1881,-0.45
"3",1882,-0.47
"4",1883,-0.62
"5",1884,-0.82
"6",1885,-0.7
"7",1886,-0.7
"8",1887,-0.69
"9",1888,-0.63
"10",1889,-0.32
"11",1890,-0.62
"12",1891,-0.54
"13",1892,-0.5
"14",1893,-0.55
"15",1894,-0.42
"16",1895,-0.39
"17",1896,-0.34
"18",1897,-0.22
"19",1898,-0.36
"20",1899,-0.14
"21",1900,-0.06
"22",1901,-0.03
"23",1902,-0.3
"24",1903,-0.29
"25",1904,-0.43
"26",1905,-0.28
"27",1906,-0.06
"28",1907,-0.52
"29",1908,-0.31
"30",1909,-0.3
"31",1910,-0.25
"32",1911,-0.32
"33",1912,-0.41
"34",1913,-0.25
"35",1914,0.04
"36",1915,0.01
"37",1916,-0.32
"38",1917,-0.57
"39",1918,-0.38
"40",1919,-0.22
"41",1920,-0.22
"42",1921,0.03
"43",1922,-0.16
"44",1923,-0.1
"45",1924,-0.08
"46",1925,0
"47",1926,0.16
"48",1927,-0.06
"49",1928,0.06
"50",1929,-0.35
"51",1930,0.05
"52",1931,0.1
"53",1932,0.09
"54",1933,-0.25
"55",1934,0.07
"56",1935,-0.1
"57",1936,-0.04
"58",1937,0.04
"59",1938,0.23
"60",1939,0.15
"61",1940,0.09
"62",1941,0.12
"63",1942,0.1
"64",1943,0.11
"65",1944,0.22
"66",1945,-0.07
"67",1946,0.05
"68",1947,0.13
"69",1948,0.1
"70",1949,-0.03
"71",1950,-0.29
"72",1951,-0.06
"73",1952,-0.02
"74",1953,0.23
"75",1954,-0.12
"76",1955,-0.07
"77",1956,-0.4
"78",1957,0.01
"79",1958,0.12
"80",1959,0.05
"81",1960,-0.08
"82",1961,0.14
"83",1962,0.08
"84",1963,0.19
"85",1964,-0.27
"86",1965,-0.13
"87",1966,-0.03
"88",1967,0.02
"89",1968,-0.13
"90",1969,-0.1
"91",1970,0.05
"92",1971,-0.05
"93",1972,-0.13
"94",1973,0.3
"95",1974,-0.15
"96",1975,0.12
"97",1976,-0.28
"98",1977,0.21
"99",1978,0.04
"100",1979,0.1
"101",1980,0.35
"102",1981,0.53
"103",1982,0.04
"104",1983,0.42
"105",1984,0.1
"106",1985,0.05
"107",1986,0.24
"108",1987,0.4
"109",1988,0.62
"110",1989,0.38
"111",1990,0.63
"112",1991,0.59
"113",1992,0.24
"114",1993,0.24
"115",1994,0.45
"116",1995,0.74
"117",1996,0.42
"118",1997,0.62
"119",1998,0.95
"120",1999,0.73
"121",2000,0.63
"122",2001,0.81
"123",2002,1
"124",2003,0.9
"125",2004,0.77
"126",2005,1.08
"127",2006,0.91
"128",2007,1.15
"129",2008,0.82
"130",2009,0.91
"131",2010,1.07
"132",2011,0.92
"133",2012,0.92
"134",2013,1.01
"135",2014,1.03
"136",2015,1.26
"137",2016,1.44
"138",2017,1.35
