"","time","val"
"1",1880,-0.05
"2",1881,0.01
"3",1882,0
"4",1883,-0.06
"5",1884,-0.15
"6",1885,-0.21
"7",1886,-0.21
"8",1887,-0.24
"9",1888,-0.05
"10",1889,-0.04
"11",1890,-0.29
"12",1891,-0.13
"13",1892,-0.18
"14",1893,-0.23
"15",1894,-0.26
"16",1895,-0.14
"17",1896,0
"18",1897,-0.05
"19",1898,-0.23
"20",1899,-0.16
"21",1900,-0.07
"22",1901,-0.18
"23",1902,-0.26
"24",1903,-0.41
"25",1904,-0.51
"26",1905,-0.28
"27",1906,-0.26
"28",1907,-0.32
"29",1908,-0.47
"30",1909,-0.52
"31",1910,-0.49
"32",1911,-0.47
"33",1912,-0.31
"34",1913,-0.37
"35",1914,-0.21
"36",1915,-0.14
"37",1916,-0.33
"38",1917,-0.38
"39",1918,-0.22
"40",1919,-0.27
"41",1920,-0.26
"42",1921,-0.24
"43",1922,-0.3
"44",1923,-0.3
"45",1924,-0.3
"46",1925,-0.26
"47",1926,-0.17
"48",1927,-0.23
"49",1928,-0.28
"50",1929,-0.33
"51",1930,-0.19
"52",1931,-0.16
"53",1932,-0.24
"54",1933,-0.29
"55",1934,-0.22
"56",1935,-0.23
"57",1936,-0.19
"58",1937,-0.09
"59",1938,-0.17
"60",1939,-0.09
"61",1940,0.11
"62",1941,0.25
"63",1942,0.05
"64",1943,0.03
"65",1944,0.21
"66",1945,0.19
"67",1946,-0.1
"68",1947,-0.13
"69",1948,-0.17
"70",1949,-0.13
"71",1950,-0.14
"72",1951,-0.05
"73",1952,0.02
"74",1953,0.01
"75",1954,-0.17
"76",1955,-0.19
"77",1956,-0.14
"78",1957,0.05
"79",1958,0.07
"80",1959,0.01
"81",1960,0
"82",1961,0.03
"83",1962,0.02
"84",1963,0.03
"85",1964,-0.13
"86",1965,-0.09
"87",1966,-0.04
"88",1967,-0.06
"89",1968,-0.04
"90",1969,0.14
"91",1970,0.02
"92",1971,-0.12
"93",1972,0.08
"94",1973,0.1
"95",1974,-0.07
"96",1975,-0.09
"97",1976,-0.03
"98",1977,0.14
"99",1978,0.08
"100",1979,0.21
"101",1980,0.23
"102",1981,0.18
"103",1982,0.19
"104",1983,0.26
"105",1984,0.16
"106",1985,0.12
"107",1986,0.16
"108",1987,0.32
"109",1988,0.27
"110",1989,0.22
"111",1990,0.33
"112",1991,0.29
"113",1992,0.22
"114",1993,0.22
"115",1994,0.24
"116",1995,0.28
"117",1996,0.24
"118",1997,0.39
"119",1998,0.44
"120",1999,0.23
"121",2000,0.25
"122",2001,0.38
"123",2002,0.42
"124",2003,0.44
"125",2004,0.43
"126",2005,0.43
"127",2006,0.43
"128",2007,0.34
"129",2008,0.33
"130",2009,0.47
"131",2010,0.47
"132",2011,0.35
"133",2012,0.42
"134",2013,0.46
"135",2014,0.55
"136",2015,0.68
"137",2016,0.7
"138",2017,0.64
