Year,Inflation,GDP per capita growth (annual %),Child_Mortality,Life_expectancy
1960,1.77987784677381,,241.4,42.266
1961,1.69521293914439,1.67048184332761,238.1,42.872
1962,3.63221497106985,0.860769633331188,234.9,43.477
1963,2.94616135685229,3.83641409698178,231.7,44.081
1964,13.3552611508153,5.24991183202739,228.8,44.685
1965,9.47475859170699,-4.64015621612809,226.1,45.29
1966,10.8018483489341,-2.11610538337501,223.5,45.898
1967,13.062202477797,5.59463359035726,221.1,46.509
1968,3.23741242627506,1.22622320687715,218.4,47.123
1969,-0.584136610466317,4.26985485822642,215.8,47.737
1970,5.09226161997547,2.86436148492177,213,48.35
1971,3.07993868406547,-0.62635013864319,209.9,48.958
1972,6.44209746158236,-2.81562795810514,206.6,49.558
1973,16.9408159791735,0.919173975240639,202.9,50.146
1974,28.598734077509,-1.14691247535107,199,50.719
1975,5.74843029767436,6.64490516515872,194.5,51.275
1976,-7.63394763392879,-0.653096224319356,189.6,51.812
1977,8.30747009171164,4.82517744024528,184.4,52.33
1978,2.5230487569518,3.32254940163699,178.9,52.828
1979,6.27568336762338,-7.38810198316025,173.3,53.305
1980,11.3460734795095,4.29898229110574,167.9,53.758
1981,13.112546897642,3.57127570913673,162.8,54.182
1982,7.89074279377489,1.09395534641537,158,54.577
1983,11.8680812986734,4.82803505303571,153.6,54.949
1984,8.3189071186007,1.46436797625853,149.5,55.302
1985,5.55642423236556,2.90238163725327,145.6,55.647
1986,8.72972072702585,2.47516632225742,141.7,55.994
1987,8.80112581251833,1.71948684061537,137.8,56.352
1988,9.38347186185335,7.29941935344517,133.8,56.727
1989,7.07428002942298,3.7343763726678,130,57.122
1990,8.9712325027326,3.36507256189454,126.2,57.536
1991,13.8702461773682,-0.983573690265004,122.7,57.967
1992,11.7878170418135,3.39041819301815,119.4,58.405
1993,6.32689048779865,2.70672729487779,116.1,58.843
1994,10.2479355556119,4.60628944919065,112.8,59.277
1995,10.2248861637545,5.52988134918675,109.5,59.703
1996,8.97715233826453,5.53041632957574,106.1,60.121
1997,7.16425211462719,2.12301449028875,102.6,60.531
1998,13.2308389767978,4.2488434613293,99,60.936
1999,4.66982038037591,6.89811623045533,95.4,61.335
2000,4.0094359104519,2.02108859495532,91.8,61.729
2001,3.77929312235641,3.02737666441584,88.2,62.121
2002,4.2971520392956,2.06487609899125,84.6,62.511
2003,3.80585899528851,6.09370510002513,81.2,62.902
2004,3.76725173477513,6.19365269939453,77.8,63.293
2005,4.24634362031925,6.23194973457434,74.5,63.689
2006,5.79652337561635,6.40328423693353,71.2,64.091
2007,6.37288135593231,6.04817414971588,67.9,64.499
2008,8.34926704907581,1.5875983042843,64.7,64.91
2009,10.8823529411764,6.35108827096114,61.4,65.32
2010,11.9893899204244,7.0423476699315,58.2,65.723
2011,8.85836096636667,3.89396604071817,55.1,66.115
2012,9.3124456048738,4.16567305225209,52,66.488
2013,11.0636747834422,5.13507450641239,49.1,66.84
2014,6.64950015146925,6.18667951266134,46.2,67.167
2015,4.90697344127253,6.79675906426532,43.5,67.468
2016,4.94821634062141,7.08222758310927,40.9,67.745
2017,3.32817337461301,5.66578114880545,38.5,68
2018,3.94506866416979,5.43307745098798,36.3,68.239
2019,3.72327648330532,2.99266440573042,34.3,68.464
2020,6.62343677628531,-8.16489390792292,,
